"Origin","Symbol","Indicator","Reference","Frequency"
"BIS","CB_ASSET_CD","Central bank, assets, total, BIS-spliced, current USD","BIS Statistics","Q"
"BIS","CB_ASSET_ZS","Central bank, assets, total, BIS-spliced (%GDP)","BIS Statistics","Q"
"BIS","CB_RATE","Central bank policy rates","BIS Statistics","Q"
"BIS","CPI_INFL_RATE","Consumer price index Year-on-year changes (%)","BIS Statistics","Q"
"BIS","CRED_ALL_GVT_CD","Credit from all sectors to central govt (USD)","BIS Statistics","Q"
"BIS","CRED_ALL_GVT_KN","Credit from all sectors to central govt (LCU)","BIS Statistics","Q"
"BIS","CRED_ALL_GVT_ZS","Credit from all sectors to central govt (%GDP)","BIS Statistics","Q"
"BIS","CRED_ALL_HH_CD","Credit from all sectors to households (USD)","BIS Statistics","Q"
"BIS","CRED_ALL_HH_KN","Credit from all sectors to households (LCU)","BIS Statistics","Q"
"BIS","CRED_ALL_HH_ZS","Credit from all sectors to households (%GDP)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFIN_CD","Credit from all sectors to non-financial sector (USD)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFIN_KN","Credit from all sectors to non-financial sector (LCU)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFIN_ZS","Credit from all sectors to non-financial sector (%GDP)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFINFIRM_CD","Credit from all sectors to non-fin corporations (USD)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFINFIRM_KN","Credit from all sectors to non-fin corporations (LCU)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFINFIRM_ZS","Credit from all sectors to non-fin corporations (%GDP)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFINPRIV_CD","Credit from all sectors to private non-fin sector (USD)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFINPRIV_KN","Credit from all sectors to private non-fin sector (LCU)","BIS Statistics","Q"
"BIS","CRED_ALL_NOFINPRIV_ZS","Credit from all sectors to private non-fin sector (%GDP)","BIS Statistics","Q"
"BIS","CRED_BANK_NOFINPRIV_CD","Credit from banks to private non-fin sector (USD)","BIS Statistics","Q"
"BIS","CRED_BANK_NOFINPRIV_KN","Credit from banks to private non-fin sector (LCU)","BIS Statistics","Q"
"BIS","CRED_BANK_NOFINPRIV_ZS","Credit from banks to private non-fin sector (%GDP)","BIS Statistics","Q"
"BIS","CRED_GAP_ALL_NOFINPRIV_ZS","Credit-to-GDP gaps (from all sectors to private non-fin sector - %GDP)","BIS Statistics","Q"
"BIS","DEBT_SERV_HH_ZS","Debt service ratios - households (% of income used to service debt)","BIS Statistics","Q"
"BIS","DEBT_SERV_NOFINFIRM_ZS","Debt service ratios - non-fin corporations (% of income used to service debt)","BIS Statistics","Q"
"BIS","DEBT_SERV_NOFINPRIV_ZS","Debt service ratios - private non-fin sector (% of income used to service debt)","BIS Statistics","Q"
"BIS","EXCH_RATE_USD","Exchange rates against USD (nominal value of 1 USD relative to a given currency - decrease = appreciation against the USD)","BIS Statistics","Q"
