"Origin","Symbol","Indicator","Reference","Frequency"
"BoC-BoE","DEFAULT_ARREARS","domestic (or fiscal) arrears [overdue payments by the government to domestic entities (eg. suppliers or public sector employees)] (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_CHN_CD","Debt in default owed to China (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_FC_BANK_CD","Foreign currency bank loans in default [made by banks in currencies other than the debtor country's local currency] (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_FC_BOND_CD","Foreign currency bonds in default [bonds issued by the government in currencies other than their local currency] (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_IADB_CD","Debt in default owed to the Inter-American Development Bank (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_IBRD_CD","Debt in default owed to the IBRD (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_IDA_CD","Debt in default owed to the International Development Association (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_IMT_CD","Debt in default owed to the IMF (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_LC_CD","Local currency debt in default [debt issued by the government in its own currency] (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_OTH_OFF_CD","Debt in default owed to other official creditors, such as other countries or multilateral institutions (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_PARIS_CD","Debt in default owed to Paris Club creditors (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_PRIV_CD","Debt in default owed to private creditors [banks, bondholders, and other private entities] (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","DEFAULT_TOT_CD","Total sovereign debt in default (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEBT_CHN","China (to EME & LIC) Official Loans (billion current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEBT_PARIS"," Total Paris Club Loans (billion current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_CHN_COUNT","Number of sovereign states in default on their Chinese debt (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_FC_BANK_COUNT","Number of sovereign states in default on their foreign currency loans (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_FC_BOND_COUNT","Number of sovereign states in default on their foreign currency bonds (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_IADB_COUNT","Number of sovereign states in default on their Inter-American Development Bank loans (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_IBRD_COUNT","Number of sovereign states in default on their IBRD loans (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_IDA_COUNT","Number of sovereign states in default on their International Development Association loans (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_IMF_COUNT","Number of sovereign states in default on their IMF loans (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_LC_COUNT","Number of sovereign states in default on their local currency debt (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_OTHER_COUNT","Number of sovereign states in default to other official creditors (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_PARIS_COUNT","Number of sovereign states in default on their Paris Club debt (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_PRIV_COUNT","Number of sovereign states in default to private creditors (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEF_SOV_COUNT","Number of sovereign states that are in default on any type of debt (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFAULT_ADV","debt in default for all countries classified as advanced economies (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFAULT_EME","debt in default for all countries classified as emerging market economies (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFAULT_EXAE","debt in default for all countries excluding advanced economies (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFAULT_HIPC","debt in default for all countries classified as Heavily Indebted Poor Countries  (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFAULT_SSA","debt in default for all countries in Sub-Saharan Africa (million current USD)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
